Id,VendorName,Route,RunType,Type,Reason,Delay,Schools,School Reported,DateOccured
322456,SNT BUS INC,k9152,PM Run,Breakdown,Won`t Start,,21095,false,2021-01-06
322456,SNT BUS INC,k9152,PM Run,Breakdown,Won`t Start,,21097,false,2021-01-06
322456,SNT BUS INC,k9152,PM Run,Breakdown,Won`t Start,,21101,false,2021-01-06
322456,SNT BUS INC,k9152,PM Run,Breakdown,Won`t Start,,21153,false,2021-01-06
322456,SNT BUS INC,k9152,PM Run,Breakdown,Won`t Start,,22206,false,2021-01-06
322533,SNT BUS INC,m8724,AM Run,Running Late,Accident,31-45 Min,06152,false,2021-01-08
322533,SNT BUS INC,m8724,AM Run,Running Late,Accident,31-45 Min,06178,false,2021-01-08
322533,SNT BUS INC,m8724,AM Run,Running Late,Accident,31-45 Min,06311,false,2021-01-08
322535,PRIDE TRANSPORTATION (SCH AGE),u908,PM Run,Running Late,Heavy Traffic,16-30 Min,75810,false,2021-01-08
322553,L & M BUS CORP.,3214a,AM Run,Running Late,Other,46-60 Min,c306,false,2021-01-08
322555,VAN TRANS LLC (B2192),x270,PM Run,Running Late,Other,16-30 Min,12486,false,2021-01-08
322559,JOFAZ TRANSPORTATION INC.,q2838,AM Run,Breakdown,Won`t Start,,28006,false,2021-01-08
322559,JOFAZ TRANSPORTATION INC.,q2838,AM Run,Breakdown,Won`t Start,,28048,false,2021-01-08
322559,JOFAZ TRANSPORTATION INC.,q2838,AM Run,Breakdown,Won`t Start,,28417,false,2021-01-08
322563,CAREFUL BUS,k848,AM Run,Running Late,Accident,46-60 Min,20865,false,2021-01-08
322568,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,31-45 Min,02655,false,2021-01-11
322568,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,31-45 Min,02908,false,2021-01-11
322568,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,31-45 Min,02948,false,2021-01-11
322570,"BORO TRANSIT, INC.",n719,PM Run,Breakdown,Mechanical Problem,,75907,false,2021-01-11
322579,"G.V.C., LTD.",02,AM Run,Running Late,Other,16-30 Min,c998,false,2021-01-11
322221,HOYT TRANSPORTATION CORP.,l615,AM Run,Running Late,Heavy Traffic,16-30 Min,15879,false,2021-01-04
322221,HOYT TRANSPORTATION CORP.,l615,AM Run,Running Late,Heavy Traffic,16-30 Min,20015,false,2021-01-04
322221,HOYT TRANSPORTATION CORP.,l615,AM Run,Running Late,Heavy Traffic,16-30 Min,21016,false,2021-01-04
322229,VAN TRANS LLC (B2192),x150,AM Run,Running Late,Heavy Traffic,16-30 Min,10095,false,2021-01-04
322238,ALLIED TRANSIT CORP.,k096,AM Run,Running Late,Other,16-30 Min,13669,false,2021-01-04
323179,"RELIANT TRANSPORTATION, INC (B2321)",q073,AM Run,Running Late,Heavy Traffic,31-45 Min,24021,false,2021-01-25
323193,HOYT TRANSPORTATION CORP.,q389,PM Run,Breakdown,Mechanical Problem,,25463,false,2021-01-25
323194,LOGAN BUS COMPANY INC.,p708,AM Run,Running Late,Other,31-45 Min,30013,false,2021-01-25
323195,G.V.C. LTD. (B2192),x519,AM Run,Running Late,Heavy Traffic,16-30 Min,07434,false,2021-01-25
323198,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Breakdown,Won`t Start,,02655,false,2021-01-25
323198,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Breakdown,Won`t Start,,02908,false,2021-01-25
323198,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Breakdown,Won`t Start,,02948,false,2021-01-25
323200,SNT BUS INC,k2497,AM Run,Running Late,Mechanical Problem,16-30 Min,20164,false,2021-01-25
323200,SNT BUS INC,k2497,AM Run,Running Late,Mechanical Problem,16-30 Min,21801,false,2021-01-25
323205,ANOTHER RIDE INC.,hk6,AM Run,Running Late,Heavy Traffic,16-30 Min,c351,false,2021-01-25
323211,"BORO TRANSIT, INC.",x028,AM Run,Running Late,Other,16-30 Min,07004,false,2021-01-25
323211,"BORO TRANSIT, INC.",x028,AM Run,Running Late,Other,16-30 Min,07028,false,2021-01-25
323214,B & F SKILLED INC.(B2192),l308,AM Run,Running Late,Won`t Start,16-30 Min,22657,false,2021-01-25
